Student,first name,last name,phone
10001,Anita,Job,705-555-1234
10002,Adam,Bomb,705-555-1235
10003,Amanda,Lynn,705-555-1236
10004,Annie,Howe,705-555-1237
10005,Anne,Teak,705-555-1238
10006,April,May,705-555-1239
10007,April,Schauer,705-555-1240
10008,Bill,Board,705-555-1241
10009,Barry,Cade,705-555-1242
10010,Bob,Apple,705-555-1243
10011,Bob,Catz,705-555-1244
10012,Brooke,Trout,705-555-1245
10013,Brighton,Early,705-555-1246
10014,Bud,Light,705-555-1247
10015,Chuck,Waggon,705-555-1248
10016,Count,Dunn,705-555-1249
10017,Crystal,Glass,705-555-1250
10018,Dandy,Lyons,705-555-1251
10019,Don,Key,705-555-1252
10020,Donny,Brook,705-555-1253
